Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
31/7/2007,14:42:00,0.264,0.210,234.820,1.400,0.000,0.000,0.0
29/12/2009,22:36:00,1.554,0.222,239.610,6.600,0.000,0.000,0.0
23/1/2010,01:53:00,0.410,0.238,239.040,2.000,0.000,1.000,1.0
18/5/2007,22:43:00,1.740,0.104,235.250,7.400,1.000,0.000,17.0
23/1/2009,10:13:00,1.748,0.000,236.740,7.400,0.000,0.000,17.0
5/7/2007,04:59:00,0.248,0.150,240.820,1.200,0.000,0.000,0.0
6/9/2010,05:02:00,0.162,0.058,242.280,0.800,0.000,0.000,0.0
6/8/2007,14:04:00,0.300,0.196,233.440,1.600,0.000,0.000,0.0
14/5/2008,13:10:00,0.940,0.324,239.050,4.000,0.000,0.000,11.0
26/1/2009,16:12:00,1.848,0.084,247.420,7.400,0.000,0.000,18.0
2/5/2009,10:51:00,1.566,0.396,238.260,6.600,0.000,0.000,18.0
15/12/2007,07:15:00,2.710,0.000,242.200,14.200,0.000,0.000,0.0
31/3/2007,20:39:00,3.936,0.366,233.970,16.800,0.000,17.000,17.0
14/5/2009,16:46:00,0.230,0.000,240.540,1.000,0.000,0.000,1.0
3/1/2008,12:25:00,0.864,0.334,241.450,3.800,0.000,2.000,0.0
2/11/2007,20:20:00,1.216,0.046,235.150,5.000,0.000,0.000,17.0
16/4/2007,08:02:00,1.604,0.080,238.390,6.600,0.000,0.000,18.0
22/5/2010,05:55:00,0.430,0.112,241.430,1.800,0.000,0.000,1.0
5/7/2009,13:54:00,1.570,0.374,238.800,6.600,0.000,1.000,18.0
24/11/2009,08:55:00,1.364,0.000,241.000,5.600,1.000,0.000,19.0
4/3/2007,09:24:00,0.302,0.098,239.400,1.200,0.000,1.000,0.0
19/8/2008,10:25:00,0.082,0.000,240.550,0.200,0.000,0.000,1.0
29/5/2008,20:41:00,1.580,0.112,235.440,6.800,0.000,0.000,18.0
12/1/2010,16:24:00,?,?,?,?,?,?,
13/6/2010,21:48:00,2.452,0.186,240.210,10.200,1.000,0.000,19.0
15/3/2008,02:14:00,0.292,0.084,240.930,1.200,0.000,1.000,0.0
2/12/2008,14:16:00,1.406,0.064,245.290,5.600,0.000,0.000,19.0
20/10/2010,20:51:00,2.748,0.000,238.300,11.400,2.000,0.000,18.0
27/2/2008,21:20:00,0.204,0.000,234.900,0.800,0.000,0.000,0.0
15/1/2010,04:46:00,0.246,0.000,245.100,1.000,0.000,0.000,0.0
25/9/2010,14:36:00,?,?,?,?,?,?,
13/5/2009,23:41:00,0.472,0.110,246.060,2.000,0.000,0.000,1.0
27/4/2007,02:49:00,0.176,0.066,235.720,0.800,0.000,0.000,0.0
3/6/2007,17:20:00,0.422,0.184,237.350,1.800,0.000,1.000,0.0
31/12/2009,02:36:00,0.250,0.000,242.860,1.000,0.000,0.000,1.0
8/3/2008,18:41:00,2.460,0.000,239.270,10.200,0.000,0.000,17.0
13/10/2010,16:33:00,1.560,0.178,241.490,6.400,0.000,2.000,19.0
27/5/2008,07:21:00,2.112,0.118,237.660,8.800,0.000,0.000,18.0
1/10/2007,06:05:00,0.302,0.076,239.370,1.200,0.000,0.000,0.0
14/3/2007,19:28:00,2.944,0.216,233.960,12.600,0.000,0.000,0.0
24/5/2009,06:01:00,0.410,0.228,242.280,1.800,0.000,1.000,1.0
2/10/2008,09:21:00,2.854,0.396,236.350,12.200,0.000,0.000,18.0
11/10/2007,14:52:00,0.294,0.000,239.720,1.200,0.000,0.000,0.0
1/7/2007,17:36:00,0.380,0.312,242.470,2.000,0.000,1.000,0.0
3/1/2010,15:18:00,1.348,0.126,247.530,5.600,0.000,0.000,0.0
5/6/2008,19:40:00,3.082,0.438,234.670,13.400,33.000,0.000,1.0
14/1/2007,10:35:00,0.646,0.000,238.590,2.800,0.000,0.000,0.0
27/7/2010,21:59:00,0.884,0.104,241.900,3.600,0.000,0.000,0.0
22/5/2009,00:56:00,0.500,0.374,245.930,2.400,0.000,2.000,0.0
2/8/2008,23:49:00,0.838,0.082,236.710,3.600,0.000,0.000,12.0
16/2/2010,01:19:00,0.432,0.082,244.590,1.800,0.000,0.000,1.0
23/3/2007,08:27:00,1.386,0.102,241.000,5.600,0.000,0.000,18.0
26/12/2006,20:37:00,3.422,0.146,240.300,14.400,1.000,1.000,17.0
20/4/2007,14:34:00,0.306,0.102,240.490,1.400,0.000,1.000,0.0
12/3/2009,04:17:00,0.316,0.100,242.850,1.400,0.000,0.000,0.0
12/9/2009,17:02:00,0.850,0.204,242.380,5.000,0.000,5.000,0.0
30/8/2008,02:05:00,0.080,0.000,239.560,0.200,0.000,0.000,0.0
24/7/2007,03:46:00,0.262,0.138,236.870,1.400,0.000,0.000,0.0
19/3/2008,06:49:00,3.110,0.118,240.700,13.600,0.000,0.000,12.0
27/12/2007,23:21:00,3.186,0.138,243.150,13.000,39.000,0.000,0.0
26/4/2010,12:37:00,0.410,0.230,242.000,1.800,0.000,2.000,0.0
28/3/2007,20:09:00,3.834,0.268,232.750,16.400,0.000,0.000,17.0
4/12/2008,19:22:00,1.974,0.116,242.160,8.200,0.000,0.000,0.0
20/4/2008,03:43:00,0.348,0.112,242.270,1.400,0.000,0.000,1.0
15/5/2007,19:36:00,0.320,0.100,237.580,1.400,0.000,0.000,0.0
14/3/2007,10:57:00,0.320,0.118,240.560,1.400,0.000,0.000,0.0
3/2/2007,06:14:00,0.614,0.106,241.070,4.000,0.000,0.000,0.0
6/6/2007,00:38:00,1.272,0.064,234.380,5.400,1.000,0.000,17.0
26/10/2009,11:45:00,0.282,0.066,240.770,1.200,0.000,0.000,1.0
11/10/2008,05:58:00,0.500,0.334,240.450,2.400,0.000,1.000,1.0
12/12/2007,21:30:00,2.310,0.000,239.110,9.800,0.000,0.000,13.0
3/6/2008,03:03:00,1.118,0.000,233.400,5.000,0.000,0.000,14.0
27/12/2009,19:48:00,2.320,0.060,239.740,9.600,1.000,0.000,19.0
8/4/2008,06:23:00,0.382,0.134,242.670,1.600,0.000,0.000,1.0
20/4/2009,07:11:00,1.802,0.000,241.130,7.400,0.000,0.000,19.0
13/7/2008,09:46:00,1.654,0.082,238.750,6.800,0.000,2.000,18.0
20/11/2008,20:29:00,3.136,0.000,235.790,13.200,0.000,0.000,17.0
14/1/2007,15:35:00,3.816,0.136,239.880,15.800,39.000,0.000,18.0
23/11/2008,00:23:00,0.842,0.000,241.340,3.600,0.000,0.000,0.0
22/8/2007,08:26:00,1.228,0.000,238.500,5.000,1.000,0.000,18.0
25/9/2009,06:33:00,0.308,0.240,239.700,1.600,0.000,1.000,0.0
23/4/2010,01:35:00,0.400,0.190,240.110,1.800,0.000,0.000,1.0
13/7/2010,21:54:00,2.124,0.182,239.780,8.800,1.000,0.000,18.0
20/11/2009,00:46:00,0.240,0.000,243.490,1.000,0.000,0.000,1.0
24/8/2007,14:15:00,1.348,0.070,240.380,5.600,0.000,0.000,18.0
14/5/2009,07:27:00,1.600,0.200,242.750,6.600,0.000,0.000,18.0
4/9/2008,19:57:00,3.190,0.598,233.760,14.400,25.000,0.000,0.0
26/3/2010,19:32:00,1.644,0.250,235.450,7.000,0.000,0.000,1.0
4/7/2008,17:53:00,1.296,0.112,240.350,5.400,0.000,0.000,18.0
15/1/2010,00:14:00,0.242,0.000,243.730,1.000,0.000,0.000,1.0
28/7/2010,17:47:00,0.228,0.084,240.780,1.000,0.000,0.000,0.0
9/11/2009,19:03:00,1.726,0.164,237.940,7.200,0.000,0.000,0.0
20/10/2009,18:57:00,2.030,0.188,238.900,8.400,0.000,1.000,0.0
20/9/2007,04:38:00,0.286,0.216,242.710,1.400,0.000,0.000,0.0
11/9/2009,07:18:00,1.542,0.222,239.840,6.400,0.000,2.000,19.0
5/11/2010,03:44:00,0.456,0.258,249.7,2.0,0.0,1.0,1.0
22/2/2007,12:13:00,1.544,0.090,237.410,6.400,0.000,0.000,17.0
27/12/2006,22:58:00,0.348,0.058,245.970,1.400,0.000,0.000,0.0
14/3/2009,13:56:00,1.334,0.000,245.840,5.400,0.000,0.000,18.0
8/11/2010,00:05:00,0.256,0.0,240.61,1.0,0.0,0.0,1.0
7/4/2007,07:34:00,0.436,0.286,241.160,2.200,0.000,1.000,0.0
8/6/2009,12:15:00,0.346,0.112,242.440,1.600,0.000,0.000,1.0
4/5/2008,17:02:00,0.584,0.000,243.220,2.600,0.000,0.000,0.0
5/5/2008,09:51:00,1.388,0.096,237.160,5.800,0.000,0.000,18.0
3/6/2008,12:20:00,0.402,0.000,234.580,2.000,0.000,0.000,1.0
29/8/2008,07:06:00,0.080,0.000,240.470,0.200,0.000,0.000,1.0
15/12/2008,23:24:00,0.318,0.000,244.800,1.400,0.000,0.000,0.0
19/4/2008,05:33:00,1.368,0.000,242.900,5.600,0.000,0.000,19.0
23/2/2007,14:26:00,1.392,0.098,240.110,5.800,0.000,0.000,17.0
6/7/2010,09:58:00,1.338,0.094,240.710,5.600,0.000,2.000,19.0
20/7/2010,07:20:00,0.188,0.000,242.580,0.800,0.000,0.000,0.0
4/5/2008,18:26:00,3.068,0.182,238.520,12.800,39.000,0.000,0.0
11/10/2010,04:01:00,0.418,0.186,239.850,1.800,0.000,1.000,1.0
9/6/2010,10:52:00,1.376,0.082,241.680,5.600,0.000,0.000,19.0
20/3/2010,01:53:00,0.350,0.120,241.740,1.400,0.000,0.000,0.0
31/8/2008,22:37:00,1.544,0.152,241.620,6.400,0.000,1.000,19.0
28/11/2007,08:48:00,1.464,0.090,241.310,6.000,0.000,0.000,18.0
27/5/2010,17:02:00,0.240,0.094,242.830,1.000,0.000,0.000,1.0
29/2/2008,11:03:00,1.582,0.056,235.540,6.600,0.000,1.000,17.0
30/8/2008,00:15:00,0.080,0.000,240.460,0.200,0.000,0.000,1.0
15/10/2008,04:27:00,0.294,0.000,239.800,1.200,0.000,0.000,1.0
26/1/2009,13:17:00,2.070,0.244,242.100,8.600,0.000,1.000,18.0
10/3/2007,23:27:00,3.474,0.060,237.340,14.600,0.000,0.000,18.0
19/5/2009,21:50:00,1.966,0.062,242.320,8.000,0.000,0.000,1.0
21/5/2007,21:13:00,1.796,0.166,236.700,7.600,0.000,0.000,17.0
1/5/2008,00:16:00,0.346,0.118,242.660,1.400,0.000,0.000,1.0
8/2/2009,04:30:00,0.524,0.236,247.040,2.400,0.000,2.000,0.0
30/10/2008,19:25:00,0.472,0.064,241.530,2.400,0.000,0.000,0.0
23/3/2008,01:56:00,0.260,0.050,244.980,1.200,0.000,0.000,0.0
19/5/2009,09:44:00,1.406,0.090,239.400,5.800,0.000,0.000,18.0
16/10/2009,10:49:00,1.448,0.172,239.650,6.000,0.000,0.000,19.0
25/6/2010,08:00:00,0.560,0.218,239.340,2.400,0.000,0.000,0.0
29/8/2010,16:03:00,1.064,0.206,241.880,4.400,0.000,0.000,12.0
10/6/2007,00:52:00,0.254,0.102,243.900,1.000,0.000,0.000,0.0
15/11/2009,13:53:00,0.316,0.094,240.840,1.200,0.000,0.000,1.0
25/5/2007,21:57:00,3.766,0.304,228.400,16.400,41.000,0.000,0.0
11/12/2008,06:00:00,0.224,0.056,245.190,1.000,0.000,0.000,0.0
15/7/2008,19:34:00,0.214,0.000,241.390,1.000,0.000,0.000,1.0
10/7/2010,08:11:00,0.638,0.328,243.700,3.200,0.000,1.000,1.0
18/7/2010,18:38:00,0.742,0.344,241.420,3.400,0.000,1.000,1.0
3/11/2007,21:56:00,0.200,0.000,239.150,0.800,0.000,0.000,0.0
4/10/2010,06:25:00,0.736,0.068,243.280,3.000,0.000,0.000,1.0
29/11/2009,01:59:00,0.232,0.000,244.960,1.000,0.000,0.000,1.0
10/7/2009,02:22:00,0.216,0.102,242.820,1.000,0.000,0.000,1.0
15/11/2007,21:40:00,2.836,0.000,238.460,12.600,25.000,0.000,0.0
26/8/2007,08:11:00,0.276,0.262,241.750,1.600,0.000,1.000,0.0
4/11/2009,13:24:00,1.898,0.316,242.380,7.800,0.000,0.000,19.0
16/6/2007,23:09:00,0.940,0.182,240.370,4.000,0.000,2.000,0.0
20/1/2007,19:25:00,6.238,0.360,231.320,27.000,0.000,36.000,17.0
21/3/2007,22:31:00,1.802,0.000,241.260,7.400,1.000,1.000,18.0
27/7/2009,18:46:00,0.300,0.228,240.480,1.600,0.000,2.000,1.0
27/1/2010,11:54:00,1.718,0.214,242.880,7.000,0.000,2.000,19.0
11/1/2008,19:46:00,1.960,0.072,239.070,8.200,0.000,0.000,0.0
7/1/2007,07:54:00,0.250,0.046,243.560,1.000,0.000,0.000,0.0
27/9/2009,03:36:00,0.308,0.250,244.020,1.600,0.000,1.000,1.0
7/1/2010,21:55:00,2.566,0.062,241.400,10.800,1.000,0.000,19.0
22/3/2008,15:28:00,0.220,0.000,243.160,0.800,0.000,0.000,0.0
14/5/2009,04:08:00,0.314,0.084,241.540,1.200,0.000,2.000,1.0
1/11/2010,11:57:00,0.342,0.122,246.37,1.4,0.0,2.0,1.0
12/7/2008,03:09:00,0.158,0.000,241.610,0.600,0.000,0.000,1.0
10/11/2008,17:59:00,4.012,0.364,235.570,17.000,0.000,1.000,17.0
5/8/2010,10:49:00,0.806,0.214,242.080,3.400,0.000,0.000,12.0
10/7/2009,20:58:00,0.838,0.242,240.960,3.600,0.000,2.000,11.0
1/7/2007,00:01:00,2.672,0.354,239.430,11.200,0.000,2.000,17.0
5/8/2009,22:52:00,0.314,0.266,244.060,1.600,0.000,1.000,1.0
27/12/2008,14:40:00,1.482,0.178,246.030,6.000,0.000,0.000,0.0
31/3/2009,04:30:00,0.382,0.094,241.210,1.600,0.000,0.000,0.0
16/4/2010,16:26:00,1.540,0.074,242.350,6.200,0.000,0.000,18.0
7/9/2007,11:05:00,1.204,0.068,234.870,5.000,0.000,0.000,17.0
1/11/2007,00:37:00,0.324,0.118,243.160,1.400,0.000,0.000,0.0
13/9/2009,11:24:00,0.706,0.258,240.680,3.000,1.000,0.000,0.0
29/12/2008,08:28:00,0.402,0.244,247.800,1.800,0.000,2.000,0.0
17/9/2007,22:48:00,1.440,0.248,240.700,6.000,0.000,0.000,17.0
23/10/2009,12:58:00,0.316,0.060,242.200,1.400,0.000,0.000,0.0
9/6/2010,19:55:00,1.854,0.204,241.290,7.600,0.000,0.000,18.0
7/9/2007,10:20:00,1.212,0.068,234.890,5.000,0.000,0.000,16.0
3/8/2007,18:21:00,0.306,0.226,236.770,1.600,0.000,0.000,0.0
23/9/2007,17:46:00,0.462,0.266,240.490,2.200,0.000,1.000,0.0
18/9/2009,16:21:00,0.888,0.238,242.650,3.800,0.000,0.000,12.0
17/2/2010,06:05:00,1.514,0.048,243.680,6.200,0.000,1.000,19.0
12/10/2010,15:24:00,0.494,0.160,241.500,2.200,0.000,1.000,1.0
7/5/2007,03:59:00,0.216,0.094,237.660,1.000,0.000,0.000,0.0
5/11/2008,23:04:00,0.772,0.100,243.840,3.200,2.000,0.000,0.0
17/6/2009,13:51:00,0.374,0.256,242.630,1.800,0.000,1.000,1.0
11/8/2009,23:08:00,0.792,0.000,242.520,3.200,0.000,0.000,1.0
16/11/2009,10:58:00,1.392,0.098,241.560,5.600,0.000,0.000,18.0
11/2/2007,22:12:00,2.100,0.078,239.330,8.800,0.000,1.000,18.0
3/2/2009,13:03:00,1.682,0.080,243.350,6.800,0.000,0.000,18.0
20/7/2007,10:07:00,1.244,0.046,231.920,5.400,0.000,0.000,17.0
20/5/2008,12:54:00,1.346,0.086,239.930,5.600,0.000,1.000,18.0
26/1/2009,00:02:00,0.530,0.226,240.810,2.400,0.000,2.000,0.0
18/1/2010,16:05:00,0.378,0.000,248.220,1.400,0.000,0.000,0.0
26/3/2008,18:18:00,2.204,0.094,239.410,9.400,0.000,29.000,0.0
5/5/2007,15:54:00,1.406,0.000,236.570,5.800,1.000,0.000,17.0
29/7/2007,04:21:00,0.104,0.000,237.170,0.400,0.000,0.000,0.0
29/12/2006,06:09:00,2.394,0.000,246.570,9.600,0.000,0.000,0.0
10/9/2009,16:45:00,0.298,0.216,242.130,1.400,0.000,0.000,1.0
23/7/2007,00:52:00,0.140,0.000,236.120,0.600,0.000,0.000,0.0
3/8/2010,08:32:00,0.264,0.000,242.200,1.000,0.000,0.000,1.0
4/7/2010,04:53:00,1.578,0.250,238.260,6.600,0.000,0.000,1.0
21/11/2010,10:28:00,0.324,0.066,239.45,1.4,0.0,0.0,0.0
7/2/2009,15:09:00,1.746,0.000,242.270,7.200,1.000,1.000,18.0
30/10/2008,22:02:00,0.526,0.078,239.020,2.600,0.000,0.000,0.0
28/8/2010,11:16:00,1.772,0.294,238.630,7.600,0.000,1.000,22.0
13/12/2008,21:59:00,0.316,0.058,241.250,1.400,0.000,0.000,0.0
10/10/2010,20:48:00,4.678,0.344,236.520,20.200,32.000,1.000,18.0
20/11/2007,00:16:00,0.412,0.222,242.210,1.800,0.000,2.000,0.0
3/2/2007,18:58:00,7.504,0.502,230.360,32.600,36.000,34.000,17.0
25/7/2008,14:32:00,0.686,0.206,236.920,3.200,0.000,1.000,8.0
8/7/2008,04:29:00,1.186,0.000,237.980,5.000,0.000,0.000,18.0
16/5/2009,09:52:00,1.258,0.000,243.040,5.200,0.000,0.000,19.0
10/4/2008,03:29:00,0.256,0.000,245.130,1.000,0.000,0.000,1.0
3/5/2008,15:57:00,0.420,0.226,242.070,2.000,0.000,0.000,0.0
24/10/2009,21:27:00,3.132,0.208,237.240,13.200,0.000,0.000,22.0
25/9/2010,16:17:00,?,?,?,?,?,?,
29/11/2007,10:35:00,1.560,0.068,240.240,6.600,0.000,0.000,17.0
22/2/2009,21:54:00,2.524,0.220,236.780,10.600,1.000,3.000,0.0
4/3/2009,08:27:00,1.376,0.000,239.350,5.600,0.000,0.000,17.0
26/6/2008,13:55:00,0.280,0.098,240.580,1.200,1.000,0.000,0.0
31/5/2008,23:48:00,2.262,0.186,241.290,9.400,0.000,0.000,18.0
19/12/2006,15:39:00,0.198,0.000,240.660,0.800,0.000,0.000,0.0
30/7/2009,22:10:00,0.680,0.156,242.140,3.000,0.000,2.000,1.0
15/5/2007,11:59:00,0.274,0.000,233.970,1.200,0.000,0.000,0.0
4/7/2010,02:34:00,1.782,0.464,237.930,7.600,0.000,2.000,0.0
2/8/2009,20:49:00,0.136,0.000,239.850,0.600,0.000,0.000,0.0
4/12/2008,08:31:00,2.370,0.112,245.210,9.600,0.000,0.000,18.0
11/11/2010,16:29:00,2.554,0.078,238.28,10.6,2.0,1.0,18.0
11/11/2009,13:38:00,1.946,0.336,242.440,8.000,0.000,0.000,19.0
26/3/2009,09:54:00,1.428,0.176,238.880,6.000,0.000,0.000,17.0
26/4/2009,18:07:00,1.206,0.348,240.430,5.200,0.000,0.000,11.0
11/3/2010,00:01:00,0.368,0.134,247.690,1.600,0.000,0.000,0.0
20/2/2010,22:08:00,1.478,0.086,242.360,6.000,1.000,0.000,1.0
10/11/2009,00:18:00,0.234,0.000,243.020,1.000,0.000,0.000,1.0
4/6/2008,01:35:00,0.234,0.088,234.000,1.000,0.000,1.000,0.0
13/4/2009,04:47:00,0.484,0.234,241.430,2.200,0.000,0.000,1.0
26/6/2009,04:24:00,0.312,0.220,243.980,1.400,0.000,0.000,0.0
15/4/2007,11:34:00,1.516,0.314,237.750,6.400,0.000,1.000,18.0
18/2/2008,05:48:00,0.332,0.118,242.990,1.400,0.000,0.000,0.0
24/11/2010,02:28:00,0.222,0.0,244.04,1.0,0.0,0.0,0.0
22/11/2008,10:36:00,1.346,0.060,242.620,5.400,0.000,0.000,18.0
1/8/2008,02:54:00,0.416,0.348,240.150,2.200,0.000,2.000,0.0
17/4/2008,10:59:00,0.278,0.000,241.550,1.400,0.000,0.000,1.0
9/5/2008,05:30:00,0.358,0.096,239.960,1.600,0.000,0.000,1.0
17/7/2010,12:54:00,0.806,0.204,241.600,3.400,0.000,0.000,12.0
14/1/2009,02:08:00,0.312,0.080,248.380,1.200,0.000,0.000,0.0
18/3/2007,18:40:00,2.090,0.050,236.050,9.200,0.000,2.000,17.0
2/3/2010,07:49:00,0.510,0.078,240.800,2.000,0.000,0.000,1.0
12/10/2008,04:44:00,0.246,0.000,243.280,1.000,0.000,0.000,1.0
6/1/2008,02:10:00,0.230,0.000,243.530,1.000,0.000,0.000,0.0
6/5/2008,16:54:00,5.720,0.208,233.510,24.400,0.000,71.000,18.0
15/7/2008,00:09:00,0.258,0.096,241.610,1.200,0.000,0.000,1.0
1/4/2010,06:04:00,0.260,0.000,243.370,1.000,0.000,0.000,1.0
19/9/2007,09:16:00,1.324,0.196,235.980,5.600,0.000,1.000,17.0
16/3/2008,04:29:00,0.232,0.000,244.240,1.000,0.000,0.000,0.0
3/4/2007,20:06:00,2.168,0.138,236.320,9.200,1.000,0.000,0.0
19/11/2009,15:43:00,0.308,0.046,244.170,1.400,0.000,0.000,1.0
20/10/2009,00:37:00,0.320,0.058,245.450,1.200,0.000,0.000,0.0
5/1/2007,11:54:00,0.382,0.162,240.050,1.800,0.000,0.000,0.0
24/8/2008,10:43:00,0.272,0.298,239.260,1.600,0.000,1.000,1.0
18/5/2009,15:36:00,0.236,0.000,241.050,1.000,0.000,0.000,1.0
27/8/2008,23:38:00,0.180,0.158,243.170,0.800,0.000,0.000,0.0
3/9/2007,20:44:00,1.108,0.120,237.510,4.600,0.000,0.000,0.0
2/6/2008,23:44:00,0.322,0.234,240.720,1.600,0.000,0.000,1.0
19/10/2010,12:29:00,1.532,0.000,242.150,8.600,0.000,0.000,0.0
22/3/2007,14:55:00,0.220,0.000,244.710,0.800,0.000,0.000,0.0
19/6/2010,16:24:00,2.410,0.260,238.420,11.000,11.000,0.000,19.0
28/11/2008,07:49:00,3.486,0.096,236.990,14.600,0.000,0.000,17.0
3/5/2009,01:59:00,0.510,0.368,244.700,2.400,0.000,2.000,1.0
13/2/2008,18:15:00,1.842,0.124,232.750,7.800,0.000,4.000,0.0
6/3/2007,08:58:00,0.798,0.220,243.110,3.600,0.000,1.000,0.0
21/2/2008,23:38:00,0.338,0.138,242.530,1.400,0.000,2.000,0.0
23/4/2009,18:19:00,0.386,0.118,243.630,1.600,0.000,0.000,1.0
24/11/2009,01:11:00,0.366,0.000,244.590,1.400,0.000,0.000,1.0
10/9/2009,16:14:00,0.238,0.114,242.620,1.000,0.000,0.000,0.0
30/3/2009,00:59:00,0.380,0.110,246.520,1.600,0.000,0.000,0.0
