Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,day,month,Total_power_use
0.488,0.252,243.72,2.2,0,0,1,19,7,1
1.31,0.0,243.67,5.4,0,0,19,20,3,19
1.948,0.172,240.62,8.2,0,0,0,17,4,0
0.556,0.336,239.89,2.8,0,2,0,12,9,2
4.892,0.616,235.93,21.0,2,27,17,14,12,46
0.27,0.092,241.13,1.2,0,1,0,26,8,1
0.4,0.228,243.31,1.8,0,0,0,26,10,0
0.3,0.11,243.96,1.2,0,1,1,16,5,2
0.894,0.138,239.79,3.8,0,0,11,30,9,11
2.5,0.052,237.18,10.4,0,0,18,8,10,18
1.78,0.206,239.26,7.4,0,0,18,4,7,18
2.974,0.0,236.61,12.6,0,0,17,2,2,17
1.258,0.046,237.88,5.2,0,0,18,21,2,18
0.264,0.132,243.95,1.4,0,0,1,19,8,1
1.588,0.356,241.08,6.6,1,2,18,5,7,21
1.464,0.15,238.11,6.2,0,1,18,8,9,19
0.218,0.0,240.27,1.0,0,0,0,20,4,0
5.56,0.154,237.26,23.4,44,0,17,21,1,61
0.31,0.096,240.35,1.4,0,1,0,15,10,1
1.296,0.0,240.89,5.4,0,0,17,17,11,17
0.254,0.15,242.45,1.2,0,1,1,11,8,2
0.264,0.0,250.09,1.0,0,0,1,2,1,1
0.154,0.0,242.27,0.6,0,0,1,24,8,1
0.368,0.236,241.05,1.8,0,1,0,9,6,1
0.22,0.0,244.8,1.0,0,0,1,4,9,1
1.39,0.0,239.99,5.8,1,0,18,24,10,19
0.318,0.0,242.96,1.4,0,0,0,5,12,0
1.17,0.0,241.1,4.8,0,1,1,21,4,2
1.358,0.048,243.59,5.6,0,0,18,14,7,18
0.082,0.0,242.12,0.2,0,0,1,13,8,1
1.232,0.072,236.11,5.2,0,0,17,27,4,17
0.44,0.202,243.54,2.0,0,0,0,17,12,0
0.43,0.156,242.42,1.8,0,0,0,12,5,0
1.742,0.094,239.49,7.2,0,0,18,6,11,18
0.26,0.08,244.35,1.2,0,0,1,5,6,1
2.876,0.0,240.86,11.8,38,0,0,15,3,38
0.788,0.102,239.95,3.2,0,0,0,13,3,0
1.862,0.192,239.09,7.8,0,2,18,2,11,20
0.372,0.058,243.11,1.6,0,2,1,6,9,3
0.158,0.0,242.6,0.6,0,0,1,14,8,1
3.374,0.09,239.38,14.8,27,0,18,26,12,45
3.484,0.22,243.43,14.4,0,31,18,10,2,49
0.328,0.108,243.09,1.4,0,1,0,24,4,1
0.458,0.208,241.11,2.0,0,0,0,24,5,0
1.344,0.204,238.56,5.6,0,0,18,13,7,18
1.71,0.05,240.27,7.0,2,0,18,25,3,20
1.606,0.05,245.39,6.6,0,0,18,31,10,18
1.752,0.258,238.28,7.4,0,0,17,12,2,17
1.358,0.0,240.94,5.6,0,0,18,1,12,18
0.232,0.118,240.54,1.0,0,1,0,21,5,1
0.204,0.0,243.03,0.8,0,0,0,4,11,0
0.296,0.092,241.85,1.6,0,2,0,25,8,2
1.33,0.142,242.09,5.4,0,0,18,27,6,18
0.336,0.088,240.82,1.4,0,0,0,9,5,0
0.984,0.316,241.84,4.2,0,0,12,10,6,12
0.23,0.122,238.38,1.0,0,0,1,12,7,1
0.346,0.152,242.34,1.6,1,0,0,19,3,1
1.34,0.0,239.57,5.6,0,0,1,17,4,1
0.252,0.0,248.5,1.0,0,0,0,9,2,0
0.314,0.076,240.72,1.2,0,2,1,15,10,3
2.154,0.2,238.44,9.0,0,1,18,29,9,19
4.49,0.256,234.35,19.2,0,10,17,7,3,27
0.248,0.134,241.55,1.2,0,2,1,20,9,3
2.388,0.086,242.69,9.8,0,0,19,10,3,19
0.31,0.0,244.79,1.6,0,0,0,27,3,0
0.336,0.12,240.61,1.4,1,0,0,29,7,1
2.404,0.144,240.79,10.0,0,2,0,5,1,2
0.564,0.21,244.12,2.6,0,0,0,21,2,0
2.332,0.214,236.92,9.8,0,1,18,22,1,19
2.624,0.162,234.32,11.2,0,0,18,11,4,18
1.424,0.128,235.18,6.0,0,1,18,5,5,19
1.768,0.054,235.97,7.4,0,0,17,25,4,17
0.538,0.092,243.71,2.4,0,0,0,15,3,0
2.682,0.082,236.27,12.2,18,0,1,20,11,19
1.266,0.088,239.03,5.2,0,0,17,13,9,17
1.174,0.0,238.94,4.8,0,0,17,6,9,17
0.394,0.212,238.9,1.8,0,0,0,12,4,0
0.154,0.0,240.09,0.6,0,0,0,1,8,0
2.034,0.136,232.54,8.8,0,0,27,29,5,27
0.342,0.112,241.13,1.4,0,0,1,23,4,1
5.478,0.29,238.26,23.0,0,0,28,23,10,28
0.464,0.19,241.57,2.0,0,1,1,1,10,2
0.318,0.052,242.45,1.4,0,0,0,17,1,0
2.356,0.06,238.74,10.0,0,0,17,22,12,17
1.872,0.058,237.47,7.8,0,0,28,2,10,28
0.114,0.0,243.05,0.6,0,0,0,25,9,0
1.286,0.096,238.57,5.4,0,2,18,22,6,20
1.37,0.0,234.31,5.8,0,0,17,17,5,17
0.406,0.192,243.17,1.8,0,2,1,20,5,3
0.808,0.086,240.25,3.4,0,0,0,12,1,0
1.52,0.092,237.67,6.4,0,1,18,27,5,19
1.376,0.066,246.05,5.6,0,0,19,16,2,19
0.318,0.228,240.1,1.6,0,2,1,4,6,3
1.41,0.074,242.9,5.8,0,1,19,12,2,20
1.294,0.0,238.73,5.4,0,0,18,23,6,18
0.29,0.0,247.2,1.2,0,1,0,24,1,1
2.226,0.206,238.28,9.6,0,27,0,10,6,27
2.908,0.246,236.83,12.4,0,1,0,9,3,1
0.438,0.204,244.63,2.0,0,0,0,15,12,0
0.334,0.128,236.84,1.6,0,1,0,25,2,1
0.428,0.12,240.61,2.0,0,0,1,9,6,1
0.408,0.206,241.51,1.8,0,1,1,1,5,2
0.294,0.0,244.34,1.4,0,0,0,29,11,0
0.294,0.116,240.19,1.4,0,0,1,9,7,1
1.314,0.052,234.27,5.6,0,1,17,17,9,18
1.948,0.0,238.71,8.2,0,0,0,6,4,0
0.144,0.0,239.17,0.6,0,0,0,3,5,0
0.308,0.254,241.11,1.6,0,1,0,22,6,1
0.326,0.096,239.94,1.4,0,2,0,30,4,2
3.556,0.23,238.87,14.8,0,0,18,16,1,18
4.12,0.0,237.47,17.2,38,0,18,4,10,56
0.194,0.0,240.37,0.8,0,0,1,11,7,1
0.316,0.076,241.28,1.2,0,0,0,24,10,0
0.306,0.088,246.22,1.2,0,1,0,15,1,1
0.38,0.206,241.2,1.8,0,0,1,27,8,1
0.502,0.0,242.91,2.0,0,0,0,30,9,0
1.442,0.068,241.3,6.0,0,0,0,6,1,0
1.406,0.104,239.01,5.8,0,0,18,23,4,18
1.484,0.08,242.25,6.0,0,0,19,18,10,19
1.658,0.0,241.58,6.8,0,0,18,2,2,18
0.14,0.0,242.35,0.8,0,0,0,25,7,0
1.546,0.0,239.62,6.6,0,0,18,10,11,18
0.108,0.0,241.55,0.4,0,0,0,16,8,0
0.158,0.122,240.57,0.8,0,0,1,15,8,1
1.228,0.0,242.84,5.0,0,0,18,21,4,18
2.286,0.314,236.62,9.6,1,2,17,28,1,20
0.294,0.096,244.25,1.2,0,1,0,18,3,1
0.432,0.108,242.72,1.8,0,0,1,11,7,1
0.382,0.236,240.46,1.8,0,1,0,10,4,1
0.276,0.064,243.59,1.2,0,0,0,28,12,0
1.362,0.0,240.87,5.6,0,0,18,14,5,18
1.234,0.0,236.26,5.2,0,0,17,28,7,17
0.152,0.0,242.85,0.6,0,0,1,24,8,1
3.41,0.214,238.77,14.2,0,0,18,24,1,18
1.508,0.092,240.35,6.2,0,0,18,2,4,18
1.282,0.108,236.7,5.4,0,0,18,17,7,18
2.604,0.246,235.62,11.0,0,5,18,3,11,23
3.904,0.5,242.1,16.2,2,0,18,21,12,20
0.334,0.106,243.44,1.4,0,1,1,6,12,2
3.914,0.232,242.05,16.2,0,39,18,1,4,57
